(2:0.9338,((1:0.7038,(3:0.5975,4:0.9334):0.9136):0.7444,(5:1.4500,6:0.8647):2.2276):0.6037,(7:1.4715,8:0.6860):0.8701);
(7:0.7066,((1:0.7536,3:0.8450):1.3693,(4:1.3594,6:0.7200):0.8808):0.6426,(2:0.8011,(5:0.9763,8:0.9597):1.3905):1.5953);
(3:0.7374,((7:0.7712,(2:0.8044,6:1.4691):0.8230):1.5756,(1:1.1313,8:1.0631):1.3655):0.8735,(4:0.6468,5:0.9503):0.7887);
((5:2.6078,(2:1.1200,(1:1.1015,8:0.6665):0.5266):0.5685):0.5749,(3:1.9563,7:0.6099):0.5157,(4:1.0470,6:1.1018):0.6035);
(6:0.6391,((1:0.6191,5:0.7626):1.3649,(3:1.8566,7:1.0387):0.9136):1.6416,(2:0.8340,(4:0.7525,8:0.8741):0.6993):1.0039);
((4:0.9414,(3:1.7218,(1:0.9617,2:1.1887):0.8207):0.8002):0.9232,(5:0.8111,7:1.2369):0.7614,(6:0.9237,8:0.8532):1.0558);
(5:0.9657,((1:0.6848,2:1.1683):1.7251,(3:1.0946,4:0.7965):1.1111):1.1971,(6:0.8036,(7:0.7558,8:0.7811):1.0808):0.8355);
(4:0.7426,(1:0.9947,(5:1.2954,(2:1.0364,7:1.0093):0.9977):0.9926):0.9395,(3:0.7581,(6:0.8544,8:0.8402):1.4896):1.0496);
(8:0.9577,(6:1.0347,(4:1.4229,(1:0.6471,3:0.6528):0.7427):1.1447):0.7041,(5:1.1125,(2:1.3623,7:0.9524):1.1743):1.0918);
((2:0.6203,5:0.7043):0.8014,(4:1.0135,7:0.6365):0.6928,(6:1.1465,(3:0.8166,(1:0.6188,8:0.6993):1.4213):2.4949):1.3340);
(4:1.2479,(7:1.4446,(1:0.8483,(2:0.6879,3:2.3950):0.8442):0.6629):0.9283,(5:0.8275,(6:0.6975,8:0.9583):0.6838):0.7738);
(4:0.8057,(6:1.2278,(3:0.8179,7:0.6585):1.7851):0.9524,(8:0.6021,(1:0.8791,(2:0.9054,5:0.9519):0.7390):1.9658):0.7094);
(8:1.1482,(6:1.0855,(7:0.7678,(1:0.9959,5:0.6515):0.7519):1.1278):0.6321,(4:1.1061,(2:1.9479,3:0.6115):1.0465):1.1272);
(2:0.6622,((1:1.2839,(4:1.8048,6:1.7475):0.6381):0.5315,(5:1.4650,7:0.6458):0.7260):0.8849,(3:0.5149,8:0.9660):1.1296);
(2:0.7121,((5:0.7720,(1:1.1658,8:0.5603):1.3567):1.9863,(4:0.5514,7:1.1385):1.5580):0.6999,(3:0.7878,6:0.5456):1.1655);
((6:0.8605,(1:0.7757,(3:0.6454,5:0.6674):0.6305):0.6025):2.4455,(2:1.5023,4:1.1171):1.5468,(7:0.8092,8:0.7866):0.6106);
(4:0.5931,(2:2.5978,(3:0.9715,(1:1.2328,6:0.6305):0.6962):0.7220):0.7146,(8:0.6544,(5:0.7509,7:1.1544):1.1143):1.1674);
(3:0.6571,(7:0.9303,(5:0.7213,(1:1.1601,8:0.9273):1.7244):0.6286):0.9214,(6:1.7823,(2:0.6740,4:0.9138):0.9474):1.0120);
(3:0.8182,((1:1.3348,4:1.2555):0.6605,(2:1.0348,7:0.9991):0.6854):1.3595,(6:1.3068,(5:0.7379,8:0.6044):0.9456):1.2576);
(5:1.3386,((6:0.7626,(1:1.5531,7:0.7536):0.7038):0.6527,(2:0.9898,4:1.0253):1.0136):0.7996,(3:1.6760,8:0.8793):0.8520);
(3:1.3572,((1:2.0580,2:1.0095):0.5674,(5:0.5289,6:1.0237):1.1143):1.5420,(8:0.8284,(4:0.9190,7:0.6053):0.5265):0.9197);
((6:0.7995,(5:1.0618,(1:1.5095,8:1.2880):0.7998):1.1226):0.5625,(2:1.1885,4:0.8134):0.5412,(3:0.5798,7:1.7317):1.0018);
(8:1.0421,(1:0.8655,(2:1.2127,(4:0.6709,7:1.2630):1.2400):1.7893):0.9352,(6:0.8242,(3:0.7818,5:0.6697):0.9457):0.7599);
(3:0.6697,(2:1.1294,(4:0.8516,5:0.8361):0.7056):1.1037,((6:0.7852,7:1.2084):2.3189,(1:0.7107,8:1.0825):0.9299):0.6683);
(3:2.4368,((7:0.8814,(1:0.5576,8:0.7412):0.5878):0.7791,(2:1.1066,5:1.0086):1.6607):0.6162,(4:1.0325,6:0.7411):0.8503);
(4:1.0401,((5:0.7636,(1:1.0722,8:0.5320):0.7305):1.4021,(2:1.1831,3:2.0289):1.3984):0.8340,(6:0.6156,7:0.5740):0.8254);
(4:0.8512,(7:0.5741,(2:1.6186,6:0.6391):1.5161):1.3274,((1:1.3797,5:1.0700):0.5741,(3:1.0455,8:0.7936):0.6985):0.9121);
(5:1.2961,((4:0.8061,(1:1.9498,8:0.9534):1.6766):0.6420,(2:0.6706,6:1.1807):0.6725):0.9475,(3:0.6779,7:0.9614):0.5653);
(6:1.0168,((1:1.2199,5:1.0042):0.9285,(3:0.8124,7:1.5654):0.8135):0.7677,(4:1.0334,(2:0.6703,8:1.2559):0.7797):1.1324);
((1:0.9120,(5:0.7986,(2:1.6055,4:0.6438):1.5382):0.7007):0.8231,(3:1.6415,6:0.8755):0.7220,(7:0.7905,8:0.8320):1.1166);
((1:0.9515,(2:1.7720,(4:0.5904,7:0.8427):0.7616):0.7626):0.5283,(3:0.5719,5:0.5170):1.0632,(6:3.1647,8:1.0072):0.4669);
(5:1.1788,(6:0.7272,(3:2.7839,7:0.5300):0.8429):0.6451,(1:0.5209,(2:1.0910,(4:0.4939,8:0.7159):1.2448):1.4146):0.8111);
(7:1.1052,((1:0.9459,6:0.6597):0.7797,(4:0.7378,(2:0.7319,5:1.1397):1.3624):1.1661):1.0732,(3:1.1714,8:1.1552):0.9717);
(7:1.8744,(5:1.0657,(2:1.3023,4:0.5340):0.6536):0.9890,(1:0.6984,(6:1.7276,(3:1.1505,8:0.7463):0.6343):0.8591):0.7648);
((6:0.6825,(1:0.7130,4:0.6728):2.1780):0.6736,(7:1.7751,(3:0.7799,5:0.6665):0.9250):0.8720,(2:0.7709,8:1.1987):1.0920);
(8:0.8756,(1:0.9760,(2:0.6794,(3:1.5108,7:1.4240):0.8129):0.7012):0.7420,(5:0.9099,(4:1.6697,6:0.7016):1.2721):0.7249);
(4:0.9118,(1:0.7948,(6:0.7985,(5:1.0561,7:1.6567):0.9350):0.7998):0.7253,(3:1.2356,(2:0.9388,8:0.8638):1.3659):0.9177);
((6:0.7105,(1:0.7470,(2:0.8405,3:0.6707):0.6766):1.9435):0.5723,(4:2.1382,7:1.5897):0.6088,(5:0.6328,8:1.1659):0.7035);
(5:0.9896,(4:0.6727,(6:0.6527,(1:0.8525,2:0.9140):0.8753):0.7011):2.0685,(3:0.9606,(7:1.0787,8:0.8394):0.8685):1.5263);
(3:0.7082,(1:1.2206,(6:0.8744,(2:1.3515,4:0.7938):0.8292):0.9977):0.8113,(5:0.8382,(7:0.8496,8:0.9773):1.3734):1.3746);
(8:1.1263,(7:1.0370,(6:0.7801,(1:0.7187,3:1.1634):0.9245):1.2496):0.9578,(5:0.9063,(2:1.7696,4:0.8871):0.7026):0.7771);
(8:1.4283,(2:0.8017,(5:0.7397,(1:0.9878,7:1.5096):0.8619):2.3330):0.6269,(6:0.5879,(3:0.5148,4:0.9336):0.7421):0.9328);
