(8:1.8374,((1:0.7877,6:0.8595):0.6610,(2:0.5855,(4:1.3859,7:1.1496):0.9233):1.0656):1.0167,(3:0.8454,5:0.8711):1.0112);
((5:0.9661,(2:2.9739,6:0.6500):0.6000):0.8555,(3:0.5928,7:0.5886):1.9659,(1:0.8549,(4:0.8014,8:0.6271):0.8115):0.7123);
(7:0.8510,(6:1.8712,(5:0.7427,(1:0.9505,3:0.6859):1.8838):0.7300):1.2911,(2:0.6177,(4:1.2860,8:0.6023):0.8935):0.5943);
(3:1.1341,(6:1.3386,(1:0.9748,(2:1.2605,4:0.7015):0.9866):0.8897):1.1410,(5:1.2239,(7:0.7277,8:0.7846):0.8139):1.0231);
((1:0.7481,(5:1.0526,7:2.0257):1.4436):0.9444,(3:0.5533,(2:0.9963,6:1.1007):0.5270):0.8142,(4:1.0129,8:1.1348):0.6465);
((2:1.1463,(1:1.7409,6:0.8926):0.4239):1.3989,(7:0.8890,(4:0.5126,5:0.7197):2.7008):0.6523,(3:0.7451,8:0.4309):0.7468);
(3:0.7868,(6:2.2616,(2:0.6389,(1:0.6210,8:1.1213):0.5198):1.0711):0.9297,(4:0.8131,(5:1.6743,7:0.5628):0.5943):1.4052);
(4:0.6545,((1:1.3777,(3:1.0160,7:0.8671):0.8904):1.1569,(2:0.7166,6:1.2765):0.7323):0.8057,(5:1.3864,8:0.6631):1.4568);
(3:0.9954,((1:1.4497,5:0.6975):1.4497,(2:0.7822,6:1.8556):0.6923):0.7893,(7:0.8655,(4:1.0440,8:0.6588):1.0438):0.6763);
(3:2.6512,(2:0.8594,(4:0.9389,(1:0.8986,7:0.5785):0.7575):1.0676):0.8347,(6:0.6447,(5:0.5312,8:0.6800):0.8404):1.7173);
(3:0.7856,(4:1.1288,(6:0.6866,(1:0.8154,5:0.8609):0.6840):1.0647):1.0777,(7:1.7941,(2:0.9923,8:0.7437):1.3906):0.9757);
(5:1.4548,((2:0.7994,(1:1.3749,8:1.1443):0.5843):0.5410,(3:0.6044,7:0.7342):0.6466):0.7457,(4:2.2667,6:0.7080):1.3956);
(4:0.6260,(3:0.5751,(6:1.7901,7:1.0750):1.1919):1.1681,(5:1.6919,(2:0.7059,(1:0.5555,8:0.7547):1.1437):1.1635):0.5588);
(8:0.9483,((4:0.8506,(1:0.7788,3:0.5840):0.9773):1.3114,(2:0.8297,7:1.2834):1.7308):1.3529,(5:0.5657,6:0.7641):1.0229);
(((1:0.9558,4:0.9898):0.9695,(3:1.0994,5:0.7540):0.9078):0.7922,(2:1.0461,6:1.6266):0.7944,(7:1.0992,8:1.1418):0.8235);
(7:1.8971,(1:0.6263,(5:0.7380,(3:0.6562,4:1.0122):1.0379):1.3566):0.9985,(2:1.6155,(6:0.6020,8:1.0031):0.6468):0.8098);
(3:1.2396,(6:1.6573,(1:0.7891,(2:0.6713,5:0.8810):0.6047):0.6901):0.8135,(8:0.9023,(4:2.0692,7:0.7140):1.2611):0.7069);
((2:0.7060,(4:0.7797,6:0.8647):1.0290):1.4293,(3:0.7779,7:0.7412):1.5991,(8:2.2596,(1:0.6897,5:0.8401):0.6646):0.6191);
(2:0.7733,((7:1.0556,(1:1.0577,3:0.8937):0.8031):0.8324,(4:0.9725,5:0.9048):1.0375):0.7820,(6:1.5274,8:1.0535):1.3065);
((5:0.8098,(1:2.1714,(2:0.8716,8:0.8378):0.8068):1.0227):1.0233,(4:1.0713,7:0.8297):0.7698,(3:0.8199,6:1.0461):0.9197);
(7:0.5866,(5:0.4899,(1:0.4824,(3:1.5961,8:0.7165):1.1028):0.6084):0.8046,(6:1.7473,(2:0.6825,4:0.9774):0.9123):2.2932);
(7:0.5970,((2:0.6783,(3:1.1772,4:0.7297):0.9744):1.1488,(1:0.9751,8:0.5582):1.7073):1.2901,(5:0.8733,6:0.5405):1.7499);
(4:0.7950,((6:1.8164,(1:1.6286,7:0.8363):0.7444):0.8073,(2:0.5176,5:2.1641):0.6085):1.1405,(3:0.6425,8:0.5562):0.7426);
(4:0.5621,((1:1.3214,2:0.6592):2.1727,(3:0.9999,7:0.7511):0.8502):0.5928,(6:1.7063,(5:0.6738,8:0.5624):1.1001):1.0480);
(4:0.9404,(3:1.4739,(2:1.3869,5:0.9994):0.9452):0.6663,(1:0.8232,(6:0.6577,(7:1.9898,8:0.6536):0.9072):0.6992):0.8571);
(3:0.6952,(6:0.5830,(4:0.6484,5:0.6764):0.5507):0.6988,(8:1.2228,(7:0.5485,(1:2.6052,2:1.1257):2.1457):0.7097):0.7899);
(8:0.8302,((1:0.9275,4:0.7994):0.9703,(3:0.9500,5:0.8484):1.4616):0.9410,(2:0.9504,(6:1.5208,7:0.8656):0.9566):0.9783);
(8:1.2019,((1:1.0844,3:1.6908):0.9836,(2:0.5774,5:2.1286):1.0133):0.5378,(6:0.6068,(4:1.0862,7:0.5987):0.7971):0.6934);
(5:1.4657,((2:0.8157,(1:0.7372,8:1.1976):0.7237):0.8084,(4:0.8624,6:1.7653):0.7848):1.2173,(3:0.8522,7:0.8663):0.9034);
((1:1.0222,(3:0.7510,4:1.3019):0.8037):0.8631,(2:1.1040,(5:0.7284,7:1.1137):1.7975):0.8927,(6:0.8279,8:1.1341):0.6598);
((2:1.0656,(1:1.3418,(3:0.9101,4:1.5074):0.7854):1.3929):0.7214,(5:0.8299,7:0.9214):0.7079,(6:0.9153,8:0.7719):1.1292);
(4:0.8212,((1:0.7127,7:1.5701):2.0785,(3:0.8529,(5:0.9238,6:0.7654):0.8879):0.8825):0.8294,(2:1.0205,8:0.9485):0.7066);
(6:0.8994,((1:0.8449,(2:1.1992,3:1.2007):0.6836):1.4902,(4:0.8299,5:0.6317):0.6941):1.1880,(7:1.4232,8:1.1889):0.7263);
(3:0.5159,(6:1.2198,(1:1.5191,(4:2.2830,7:0.4620):1.0721):1.0102):0.5445,(8:0.8390,(2:0.8217,5:0.7081):0.6672):1.3375);
(5:0.9607,((1:0.9309,2:1.1425):0.6948,(6:0.6512,(3:0.8339,7:1.1846):0.6730):0.6887):1.4193,(4:0.9477,8:1.8321):1.0406);
(3:1.2875,(7:0.6575,(4:0.7974,6:0.8026):0.8861):0.7841,((1:0.6880,2:0.7670):0.7263,(5:0.9659,8:2.7890):0.7746):1.0741);
((5:0.7257,7:0.8397):0.6742,(4:1.2633,6:0.8720):1.8984,(3:0.6901,(2:0.6806,(1:0.8130,8:1.3026):1.7025):0.7819):0.7561);
(7:1.3782,(1:0.7101,(4:0.8698,(5:1.1774,6:0.9502):1.0798):0.7293):0.9081,(2:0.8474,(3:1.4866,8:1.2508):0.7975):0.8148);
(7:0.9410,(4:0.9187,(2:0.7046,6:0.7277):0.7501):1.3816,((1:1.3554,5:0.7153):0.6642,(3:0.9948,8:1.1187):1.9677):0.7601);
(3:0.6589,((1:0.6428,6:1.0383):0.8500,(2:0.8923,5:1.1792):0.8235):0.6309,(8:1.0389,(4:2.3595,7:0.6567):1.4748):0.7543);
(7:1.0344,(6:1.0836,(2:0.7503,5:1.2783):1.9803):0.6181,((1:0.5796,4:1.0757):0.8079,(3:1.6037,8:0.7560):0.5634):0.8688);
(4:0.8873,(6:0.8880,(3:0.9543,7:1.1445):0.7272):1.1142,(1:0.8864,(2:0.7505,(5:0.8096,8:1.0835):1.9556):0.7368):1.0622);
(7:0.7901,(5:1.1181,(2:1.0863,3:0.8860):1.5782):0.7520,((1:1.1408,4:1.6009):0.6293,(6:0.6613,8:0.6140):0.8345):1.3085);
((2:0.6432,(4:0.5687,7:1.2090):0.7224):1.6263,(3:1.0483,5:0.6713):1.6840,(1:0.8499,(6:0.7908,8:1.4032):1.1372):0.6458);
(6:1.1713,(7:0.9003,(5:0.7712,(1:1.0746,8:0.5763):0.7401):0.8267):1.1162,(2:0.8889,(3:0.5512,4:0.9253):1.9110):1.5468);
(3:0.7193,((1:0.7905,4:1.6084):0.8802,(5:0.7894,7:1.1157):0.7670):0.9622,(8:0.7096,(2:1.6680,6:1.0557):0.8378):1.0961);
(7:0.6619,(1:1.5522,(5:1.2032,(2:0.7006,6:1.4804):0.5924):0.6635):0.8888,(4:0.6996,(3:1.8272,8:0.9549):1.1735):0.6017);
(5:0.9652,((1:0.8930,(4:1.7013,6:1.4472):0.8263):0.6452,(2:1.1987,3:1.3548):0.9001):0.6810,(7:0.7836,8:0.9415):0.6621);
(2:0.7519,(4:3.0838,(6:1.5189,(1:0.5401,8:1.2620):0.4963):0.7212):0.6334,(7:0.6698,(3:1.0219,5:0.6153):0.4823):1.2033);
((6:0.6528,(3:2.0312,(1:0.7302,7:0.9192):1.8690):1.4271):0.7814,(4:1.1295,5:0.7783):0.5693,(2:0.5752,8:0.9090):0.6276);
(8:0.8443,(1:0.5487,(5:0.5985,(3:0.8210,4:0.8651):2.4659):1.7929):0.6086,(2:0.6662,(6:0.9078,7:0.8264):0.5132):1.5414);
(7:0.7251,(5:2.1021,(1:0.6892,(3:0.9371,4:1.0361):0.5963):0.8336):0.8733,(8:0.7725,(2:1.0302,6:1.5487):1.0688):0.7869);
(8:1.6021,((1:1.1199,7:0.7149):1.1179,(2:0.8143,(3:0.7595,5:0.6533):2.6485):0.5956):1.0501,(4:0.5470,6:0.5689):0.8081);
(7:0.9660,(3:0.8842,(4:0.8435,(1:0.7090,5:0.6100):1.1956):0.7854):1.3351,(6:1.3209,(2:0.9288,8:1.4645):1.3319):0.6251);
(4:0.6883,(1:1.4295,(7:1.3369,(2:1.0488,3:0.9860):0.6577):0.8014):1.0210,(6:0.7092,(5:0.9354,8:1.2021):1.2980):0.8858);
((2:0.6573,(1:1.3310,8:0.6366):1.8312):0.5728,(6:0.7961,(4:0.5658,5:0.8896):1.0675):0.5281,(3:0.7055,7:1.0388):2.3797);
((1:1.0229,(4:0.9882,5:1.4083):0.5559):1.3976,(6:1.5543,(3:0.8756,7:0.5843):1.0692):0.6517,(2:0.6437,8:1.4383):0.8102);
((4:0.8045,(3:0.7188,5:0.7375):0.9639):1.1612,(6:1.0215,7:0.6046):0.9708,(1:0.9064,(2:1.1348,8:1.8832):1.3150):0.7778);
(((5:0.7307,6:0.6724):1.1910,(1:0.8097,8:1.1513):1.0089):0.6671,(4:0.7064,7:0.7910):1.0264,(2:2.0824,3:0.7866):1.3761);
(4:0.6474,(5:1.0427,(3:1.6334,(1:0.9972,8:1.2929):0.6787):0.8566):1.1134,(6:0.7602,(2:1.5490,7:0.7846):0.9354):0.7084);
(3:0.6857,((4:0.8903,7:1.1468):0.8315,(1:1.9025,(6:0.7533,8:0.7996):0.6907):0.5870):1.0887,(2:0.6067,5:2.2026):0.8146);
(3:0.5351,(4:0.5659,(6:0.8042,(1:0.7468,8:2.1123):1.0018):1.1334):0.7388,(7:0.6256,(2:1.8067,5:1.2660):0.5529):1.1106);
(6:0.4755,((1:0.5112,5:0.5594):0.7214,(3:1.5781,(2:1.5749,7:2.3179):0.8559):0.6078):1.4312,(4:0.8999,8:0.8922):0.5747);
((6:0.8911,(1:0.5535,7:0.5659):0.6145):0.9132,(3:1.1537,(2:0.7142,4:2.6093):0.7699):0.7531,(5:0.7524,8:0.5466):2.1625);
(7:0.6888,((1:1.5770,2:0.6107):0.9163,(4:0.6829,6:0.7588):0.9505):1.2304,(3:1.4970,(5:0.8723,8:0.4932):1.2933):1.4289);
(8:0.6296,((6:0.5150,(1:0.9758,7:1.7329):0.6210):1.1234,(2:1.6795,4:1.0083):1.0284):0.9141,(3:0.8703,5:1.2215):0.6804);
(3:0.6098,(7:0.6392,(5:0.6686,(1:0.5632,4:1.4783):0.7357):0.5419):1.8087,(8:0.6155,(2:1.4626,6:1.8233):0.6943):1.3591);
(4:0.7759,(6:0.7300,(7:1.0587,(1:0.7764,8:0.9464):0.6826):1.6473):0.9887,(5:0.8040,(2:1.7425,3:1.0956):0.8379):0.9139);
((4:0.8784,(2:0.7625,(1:0.7812,7:1.4317):0.8141):1.0049):0.6027,(3:0.7145,6:0.6544):0.8638,(5:2.9731,8:0.7455):0.7731);
(8:1.0209,(6:0.6748,(1:0.8441,(2:0.7833,7:0.9275):1.2300):0.6387):0.9550,(5:1.4945,(3:1.5314,4:1.4529):0.6627):0.7842);
(8:0.8150,(6:0.9505,(2:0.5849,(1:1.1153,5:0.7245):1.7637):1.2823):0.7648,(4:1.0533,(3:1.6187,7:0.7445):0.6117):0.9707);
((4:0.9503,(1:0.9196,5:1.4115):1.2871):1.0244,(3:1.0703,(2:0.7247,7:0.8250):1.0713):0.8499,(6:0.9229,8:0.8614):1.0817);
(7:1.0097,(2:0.9015,(4:0.7545,6:0.7653):0.6821):1.7019,(8:1.1828,(3:0.8827,(1:1.1743,5:0.8431):0.8753):0.6188):1.6082);
(7:1.3875,(4:0.9202,(1:0.9559,(5:1.2157,8:0.8273):0.9186):0.6926):1.0560,(2:0.6979,(3:0.7683,6:0.7050):1.4578):1.3973);
(6:0.8795,(3:0.7967,(4:1.0481,7:0.8178):0.9096):1.0750,((1:0.7830,5:1.3486):1.0231,(2:0.7798,8:1.2623):1.3144):0.9621);
(2:1.3232,((1:1.5940,3:0.6090):0.6066,(6:1.0639,(4:0.6099,5:1.2588):0.6995):1.4363):1.0879,(7:0.8676,8:0.8873):0.9560);
((3:1.4383,(1:1.2531,(4:0.7429,6:0.5355):1.4661):0.9850):0.4759,(5:1.8728,7:1.5480):0.5593,(2:1.1136,8:0.5338):0.4757);
(3:1.3952,(4:0.7694,(2:0.7313,(1:0.6899,6:1.1551):2.2118):0.6353):0.8120,(5:1.3908,(7:0.9689,8:0.6435):0.8833):0.7134);
(7:0.8606,(5:0.7698,(2:1.0547,(1:1.1911,6:1.2467):1.0170):1.2868):0.9469,(3:0.8353,(4:1.6047,8:0.6906):0.7887):0.7070);
(6:0.8233,((3:1.0419,4:0.7808):3.1073,(1:1.1342,8:0.7451):0.7007):0.9069,(5:0.7549,(2:0.7039,7:0.7113):0.6135):0.9761);
(4:2.3317,(7:0.6536,(2:0.5540,6:1.0071):0.7855):0.7655,(8:0.7415,(5:0.7523,(1:0.9034,3:0.9530):0.9352):1.4210):1.1963);
((5:0.7525,7:0.6929):2.1363,(2:1.0599,3:0.6409):1.2852,(1:0.8172,(4:0.7629,(6:0.5511,8:1.2088):0.5503):1.5398):1.0021);
(2:1.1668,(5:0.6278,(3:1.4547,(1:0.8432,4:0.8559):0.7421):0.5865):0.8382,(6:0.7890,(7:0.7521,8:1.0328):0.6019):2.7089);
(7:0.7838,(5:1.3655,(2:0.7942,4:0.4676):1.1356):0.3690,((1:1.2136,6:1.5609):0.9219,(3:1.0771,8:1.3731):0.4049):1.5328);
((1:1.0824,(2:1.4732,(5:1.2446,6:1.4617):1.1758):1.2968):1.0859,(3:0.7513,7:0.6071):0.4385,(4:1.1048,8:0.5132):0.7646);
(8:0.8925,((4:1.3061,(1:0.4337,7:0.4315):0.9974):0.8425,(3:0.5325,6:0.8099):0.9064):1.2439,(2:0.4567,5:3.0342):1.1128);
(8:0.7729,(5:0.7360,(3:1.0609,(1:1.0157,6:0.7212):1.1996):0.8451):1.2603,(4:0.8342,(2:1.3628,7:1.2846):0.8386):1.0683);
(5:0.8526,((1:0.7191,3:0.6538):0.9533,(6:0.8357,7:1.6386):0.8675):1.4616,(2:1.0099,(4:0.7187,8:0.8315):1.2791):1.1786);
(3:1.1541,((6:0.8912,(1:0.7970,8:0.6647):0.6769):0.9775,(5:1.2039,7:0.8450):0.7476):0.9931,(2:0.5649,4:0.8248):2.6591);
(((1:0.8192,2:0.5395):1.0430,(3:0.9805,7:1.7438):0.9929):0.9681,(4:0.7959,6:0.9341):0.7953,(5:0.7840,8:0.5505):2.0533);
(5:1.3617,(4:1.0301,(8:0.5522,(1:0.7927,6:0.9763):1.0617):1.1602):1.0388,(3:0.7917,(2:0.9687,7:1.6084):0.7300):0.9275);
(((1:1.3845,4:0.4872):1.9346,(6:1.2433,7:0.5829):1.1265):0.9792,(2:0.5532,5:1.0536):1.0659,(3:0.8120,8:1.2660):0.5112);
((1:0.5343,(2:0.7301,4:0.9681):0.6284):0.7306,(6:0.6074,(3:0.9377,7:0.9730):0.9272):0.5439,(5:1.4537,8:0.7092):3.2564);
(5:1.5847,(6:1.6370,(1:1.2798,(2:0.6719,7:0.7591):1.1813):0.8422):0.7417,(3:0.7795,(4:0.8277,8:0.6692):0.8604):1.1655);
(6:1.1855,(4:0.6323,(3:1.0903,(1:0.9332,8:0.5688):0.5868):2.9411):0.8130,(2:1.0290,(5:1.0712,7:0.8713):0.7169):0.5606);
(6:1.1613,((1:0.6190,(3:1.0806,5:1.1220):0.9989):1.0787,(2:0.7501,4:1.4545):0.7881):0.8865,(7:0.7828,8:0.6770):1.6005);
((5:0.7776,(7:0.6600,(1:0.9404,2:1.8637):1.3410):0.5647):0.8595,(4:0.9975,6:1.6829):0.6921,(3:0.9999,8:0.7220):0.8988);
(7:0.6526,(2:1.2013,(3:0.6595,5:0.6591):1.2873):1.2063,((1:0.5360,4:1.6800):1.1225,(6:0.5309,8:0.6357):0.9149):1.9139);
(7:2.1928,(4:0.5856,(2:0.6867,5:1.5936):0.7292):0.7366,(8:1.2647,(6:0.7998,(1:0.8568,3:1.0020):0.7908):0.9598):0.8017);
(8:1.3137,(5:0.8011,(3:0.5487,(1:0.5497,6:0.5352):0.6916):1.6335):0.8725,(2:1.0650,(4:1.2372,7:0.9275):1.8413):0.9831);
(7:1.2597,(5:0.7985,(3:0.8220,(1:0.6059,2:0.9408):0.8403):0.7025):2.2077,(6:0.7148,(4:0.9241,8:1.1928):0.6357):1.3551);
(3:0.9291,(5:1.0599,(2:0.6816,7:1.0088):1.2683):1.0133,(8:0.6044,(4:0.8568,(1:0.7916,6:0.6099):1.7349):0.8870):1.5544);
(3:2.0228,(7:0.5020,(2:0.9077,6:0.8458):0.9187):1.8287,(1:0.5194,(8:0.6178,(4:0.7692,5:0.5726):0.7762):1.2856):1.4337);
(((1:0.4844,6:2.0729):1.2482,(5:1.5168,7:0.6644):1.3316):0.5028,(2:0.5929,4:0.5234):1.4300,(3:0.4636,8:1.6766):0.4925);
(4:0.6025,(2:1.2983,(1:1.1175,(3:0.7299,5:0.5450):1.2826):0.5870):2.6438,(7:0.5002,(6:0.7121,8:1.5373):0.6053):0.8385);
((7:0.6855,(1:0.6213,2:1.1253):2.0921):0.8292,(3:0.6519,(4:0.9627,6:0.7873):1.5079):1.1954,(5:0.6203,8:0.8912):1.0299);
(2:1.5670,(5:0.7464,(1:0.5934,(6:0.8421,8:1.1511):0.6518):1.6040):0.7376,(4:0.6218,(3:1.3447,7:1.2512):0.9282):0.9608);
((2:0.8058,(1:0.5643,(4:1.2637,5:0.8009):0.5190):1.6656):0.5126,(3:1.0736,7:0.4920):1.1838,(6:0.9150,8:2.7224):0.4813);
(7:1.4870,((1:1.6979,6:0.6807):0.8308,(4:1.2764,(3:0.7101,5:0.7761):0.9304):1.0681):0.6604,(2:0.8245,8:1.0320):1.0256);
((4:0.7022,(1:0.6919,8:0.6157):0.6010):0.7126,(2:0.7533,(3:1.5864,6:0.9879):0.5597):0.7648,(5:2.4638,7:1.2543):1.3064);
(4:0.8587,(1:1.2081,(2:0.7424,(3:0.7915,7:1.7845):1.0014):1.3166):0.9213,(5:0.8623,(6:0.8626,8:1.0900):0.6696):0.8911);
((2:0.9823,4:0.8941):0.7099,(3:0.8382,6:1.0467):0.6555,(8:0.7087,(1:2.9939,(5:0.7609,7:0.9748):0.8821):0.7477):0.8052);
(3:0.8443,((6:0.9864,7:0.8797):1.2112,(8:0.8757,(1:0.7482,4:1.6834):1.1663):0.6839):0.7488,(2:1.5757,5:0.8778):0.7186);
(8:0.6898,(7:0.6662,(2:1.6250,(1:0.8388,3:0.9151):0.5807):0.7280):0.7889,(5:0.9092,(4:2.0409,6:0.5822):0.8421):1.7931);
(8:1.0186,(4:1.3821,(5:1.0213,(1:1.5518,6:0.8617):1.5413):0.6119):0.8302,(3:0.6698,(2:0.7148,7:0.7276):1.3298):0.7391);
(6:1.4396,(5:1.4678,(4:0.5639,7:0.9889):0.8749):1.0134,((1:1.2450,2:0.6744):0.7234,(3:1.1184,8:0.5848):1.7336):0.5719);
(6:0.9933,(1:0.7656,(4:0.6740,(2:0.8908,5:0.6454):1.8471):1.1535):1.0539,(7:1.4979,(3:0.9805,8:1.0326):0.5959):0.8695);
(((1:0.6513,7:0.6177):0.6711,(2:1.3954,3:1.2366):1.5994):1.5582,(4:0.5443,6:0.8910):1.5512,(5:1.2020,8:0.5433):0.5385);
(6:0.8119,(2:0.5284,(3:0.8897,7:0.9568):0.5373):0.9566,((1:0.5473,4:1.4223):1.5340,(5:0.7761,8:1.4577):1.7249):0.8569);
(6:3.1146,(4:0.4010,(3:1.2722,5:0.4721):1.1387):1.6817,(8:0.6843,(7:0.8133,(1:0.5788,2:0.9406):0.5079):0.6988):0.6959);
((6:0.7050,(1:0.7431,(3:1.3810,5:1.0943):1.4136):0.6776):0.5979,(2:0.9700,7:1.1243):0.9283,(4:0.6379,8:1.7440):0.9831);
(7:1.7754,(5:1.1487,(3:0.5674,6:0.7442):1.3408):0.6471,(2:1.4131,(8:0.6078,(1:0.9379,4:1.0514):0.5586):0.9946):1.2129);
(6:0.7152,(3:0.8446,(2:1.0314,4:0.8090):0.8269):0.8847,((1:0.9745,5:1.2711):0.7561,(7:1.0314,8:2.0070):1.0360):0.8121);
(5:0.6826,(2:1.1833,(6:1.4402,(1:0.7647,4:1.3137):1.4112):0.8303):0.8893,(7:1.1582,(3:0.9392,8:0.7766):0.6883):0.9224);
(5:0.6827,(4:1.1581,(2:0.7069,(1:0.8753,8:0.6618):1.3681):0.5463):0.7235,(3:1.4161,(6:0.9538,7:1.0503):0.7395):2.1175);
(5:0.5917,((3:1.6492,7:1.0366):1.0642,(1:1.3423,8:1.2503):0.5377):0.8972,(4:1.6074,(2:0.6110,6:0.7658):0.6010):1.0457);
((1:0.9003,(2:1.1522,5:0.5816):0.5094):0.9457,(4:0.7352,(3:1.6832,6:1.8595):1.1296):0.7025,(7:0.5996,8:0.9634):1.2376);
(6:1.5731,(3:0.7372,(2:0.6916,(1:1.5597,7:1.4679):0.6695):0.7629):1.1173,(8:0.6929,(4:0.7697,5:1.2862):0.6584):1.0135);
(2:0.5825,(7:0.9364,(1:0.5937,(3:0.6506,4:0.5630):1.9204):1.2814):0.6038,(8:1.5520,(5:1.0443,6:1.6483):0.7595):0.8639);
(6:0.7432,((2:1.0124,5:0.8024):1.4310,(1:1.1887,8:0.9345):1.2103):1.3490,(3:0.8621,(4:0.7327,7:0.8971):0.9622):0.8744);
((1:0.8615,(7:0.7635,(3:0.9006,6:0.7121):1.0726):1.8018):0.8637,(2:0.6268,5:1.0785):0.6800,(4:1.4679,8:1.4145):0.7565);
((5:0.9702,(1:0.4813,7:0.7006):0.4894):1.2559,(3:0.5060,(4:4.8636,6:0.6917):0.6558):0.7694,(2:0.4786,8:0.6795):0.4581);
(3:1.0364,(2:0.6634,(6:0.5973,(1:0.6855,5:0.9520):1.3986):0.4689):0.8630,(8:0.8727,(4:1.7991,7:1.6016):0.6025):1.4590);
((6:1.1300,(1:1.1505,2:0.6982):1.3836):0.6119,(7:0.9975,(3:1.5205,4:0.8456):0.5927):0.8111,(5:1.4824,8:0.5940):1.1819);
((4:1.2135,5:0.6928):0.8173,(2:0.9469,7:0.6343):0.6605,(8:1.3680,(1:1.1650,(3:0.8606,6:1.0654):0.6573):0.9911):1.9272);
((5:1.0115,(1:0.8910,(4:1.1914,7:0.5795):1.8189):0.8051):0.6317,(3:0.8618,6:0.9388):0.8822,(2:1.0112,8:0.7740):1.6028);
(4:0.8448,((3:0.7805,5:0.5973):0.8805,(8:1.8070,(1:0.9867,7:1.6593):0.8394):1.0282):0.7460,(2:1.2377,6:0.7181):0.8743);
(5:2.1343,(4:0.8176,(2:2.1602,7:0.8050):1.2671):0.4478,((1:0.7399,3:0.4967):0.4641,(6:0.6363,8:0.8623):1.6134):0.5553);
(5:0.7309,(4:1.0309,(8:1.4758,(1:1.7471,3:0.6559):1.1268):0.5736):0.7850,(6:1.1550,(2:0.9326,7:0.7707):1.2008):0.8150);
(6:1.0237,(2:0.6519,(4:1.2448,(1:0.7257,8:0.5852):1.1411):1.0007):0.7254,(5:1.1981,(3:1.8004,7:1.2146):0.5180):1.1703);
((3:0.9015,5:0.8181):0.5508,(2:1.3692,6:0.7618):1.9502,((1:2.3464,7:0.4478):0.4956,(4:0.9831,8:0.7961):0.6322):0.9472);
((6:0.8179,(1:1.4331,(2:1.2489,3:0.7875):0.7783):0.7189):1.2980,(4:0.9624,7:0.9610):1.2110,(5:0.7264,8:0.9123):1.1444);
(7:0.9830,(4:0.6429,(3:0.6588,6:1.0124):1.3107):1.9121,(1:0.6341,(2:1.6145,(5:0.8514,8:0.7988):0.5231):0.7403):1.3181);
(5:1.4668,(3:1.3494,(6:1.8971,7:0.7890):0.5207):0.6044,(1:0.6539,(4:0.6745,(2:1.5384,8:1.0333):0.6489):0.9151):0.9087);
(6:0.6221,((7:1.1640,(1:0.5316,8:2.1171):2.1320):0.5804,(2:1.0418,5:0.5715):0.6476):0.9064,(3:0.6217,4:0.4942):1.5696);
((1:1.2119,(7:0.6788,(4:0.9770,6:1.2267):0.7435):2.1674):0.9374,(2:0.6610,3:0.9700):0.9614,(5:0.7043,8:0.7224):1.0382);
(7:1.3772,(5:0.9138,(4:1.2353,(1:1.3475,3:1.4267):0.7509):1.1242):0.6386,(8:0.6410,(2:0.9742,6:0.7671):1.1107):0.6926);
((1:0.6808,(2:1.4655,(3:1.0732,5:0.6919):0.9095):1.4241):0.8193,(4:1.0446,7:1.3716):1.2588,(6:0.6560,8:0.9125):0.6922);
(7:1.5863,(2:0.7437,(1:1.7619,(3:0.6520,5:0.6926):0.9741):0.8443):1.1907,(6:0.6098,(4:0.9326,8:0.6212):1.1551):1.2356);
((2:0.7376,(1:0.6018,(4:1.2369,6:0.6305):0.6423):2.2048):1.3198,(5:0.6215,7:1.1356):0.9107,(3:1.1101,8:1.0852):0.7634);
(6:1.2380,(4:0.5472,(3:1.0737,(1:1.3421,5:0.6688):0.7025):0.5828):1.0171,(7:1.8886,(2:1.0826,8:1.5378):0.6616):0.6571);
(2:1.8505,(5:1.3600,(4:0.8249,6:0.7978):1.1790):0.6773,((1:1.2469,3:0.8887):0.6592,(7:0.9305,8:0.8141):0.6922):1.0789);
(8:0.6032,((1:0.6104,3:1.2371):0.9599,(5:1.7140,(2:2.3666,7:0.5570):1.2752):0.8508):0.9043,(4:0.6854,6:0.5739):0.6623);
(3:1.1938,(2:0.8675,(4:2.1432,5:0.6018):1.6312):0.6113,((6:0.6064,7:0.7630):1.2165,(1:0.7334,8:0.5925):1.1139):0.9252);
(2:0.9247,(3:1.0236,(5:0.6586,6:0.6843):1.0827):0.8616,(1:1.3345,(7:1.0750,(4:0.7621,8:0.9809):1.5971):0.7830):1.2320);
(4:0.5423,((1:1.7919,7:1.4480):0.6047,(5:0.5497,6:0.6816):0.5637):0.7301,(2:2.0443,(3:0.5595,8:1.6887):1.1763):0.6191);
(5:1.0973,((1:0.7368,2:0.9210):0.8393,(4:1.0805,(3:0.9380,7:0.8037):0.9530):0.9539):0.7925,(6:0.9771,8:0.9952):1.9117);
(2:0.8461,(4:0.5471,(5:0.6210,7:0.6842):0.5819):1.1035,(1:1.7015,(6:1.1315,(3:1.2448,8:0.5502):2.6811):0.6106):0.6967);
(7:0.9711,(4:1.0268,(1:0.6478,(6:1.5156,8:1.6728):0.9583):0.6967):0.8988,(5:0.9491,(2:1.4312,3:0.6840):0.5344):1.0133);
(6:0.6905,(3:0.5369,(8:0.7933,(1:1.1551,7:0.6074):1.0883):1.1636):0.5491,(5:0.5410,(2:1.3284,4:0.9841):1.3080):2.2543);
